# Functions found by Ghidra auto-analysis
# Address | Size | Name | Signature
#---
0x00D7A8 |    108 | FUN_0000d7a8 | undefined8 FUN_0000d7a8(undefined8 param_1, ulonglong param_2)
0x00D814 |     68 | FUN_0000d814 | undefined FUN_0000d814(ulonglong param_1)
0x00D858 |    136 | FUN_0000d858 | undefined8 * FUN_0000d858(undefined8 param_1, ulonglong param_2, ulonglong param_3, undefined8 * param_4)
0x00D8E0 |    192 | FUN_0000d8e0 | undefined FUN_0000d8e0(void)
0x00D9A0 |     84 | FUN_0000d9a0 | undefined FUN_0000d9a0(ulonglong param_1, ulonglong param_2, undefined8 * param_3)
0x00D9F4 |    172 | FUN_0000d9f4 | undefined FUN_0000d9f4(uint * param_1, ulonglong param_2)
0x00DAA0 |    324 | FUN_0000daa0 | longlong FUN_0000daa0(byte * param_1, byte * param_2, longlong param_3)
0x00DBE4 |    184 | FUN_0000dbe4 | uint * FUN_0000dbe4(uint * param_1, ulonglong param_2, byte param_3)
0x00DC9C |    244 | FUN_0000dc9c | undefined8 * FUN_0000dc9c(undefined8 * param_1, undefined8 * param_2, ulonglong param_3)
0x00DD90 |     60 | FUN_0000dd90 | undefined FUN_0000dd90(uint * param_1, ulonglong param_2)
0x00DDCC |     96 | FUN_0000ddcc | longlong FUN_0000ddcc(byte * param_1, byte * param_2, longlong param_3)
0x00DE2C |     84 | FUN_0000de2c | char * FUN_0000de2c(char * param_1, longlong param_2, char param_3)
0x00DE80 |    584 | FUN_0000de80 | undefined FUN_0000de80(undefined8 * param_1, undefined8 * param_2, ulonglong param_3)
0x00E0C8 |    312 | FUN_0000e0c8 | undefined FUN_0000e0c8(uint * param_1, ulonglong param_2, byte param_3)
0x00E200 |     64 | FUN_0000e200 | undefined8 * FUN_0000e200(void)
0x00E240 |    204 | FUN_0000e240 | longlong FUN_0000e240(void)
0x00E30C |    728 | FUN_0000e30c | longlong FUN_0000e30c(void)
0x00E5E4 |    440 | FUN_0000e5e4 | longlong FUN_0000e5e4(void)
0x00E79C |    832 | FUN_0000e79c | longlong FUN_0000e79c(void)
0x00EADC |    428 | FUN_0000eadc | longlong FUN_0000eadc(void)
0x00ECC0 |    668 | FUN_0000ecc0 | undefined FUN_0000ecc0(undefined8 * param_1, longlong * param_2, undefined8 * param_3, longlong * param_4)
0x00EF5C |     64 | FUN_0000ef5c | undefined1 FUN_0000ef5c(void)
0x00EF9C |    104 | FUN_0000ef9c | ulonglong FUN_0000ef9c(void)
0x00F004 |     72 | FUN_0000f004 | undefined FUN_0000f004(void)
0x00F04C |    268 | FUN_0000f04c | undefined FUN_0000f04c(void)
0x00F158 |     72 | FUN_0000f158 | undefined FUN_0000f158(void)
0x00F1A0 |     72 | FUN_0000f1a0 | undefined FUN_0000f1a0(void)
0x00F1E8 |    508 | FUN_0000f1e8 | undefined FUN_0000f1e8(void)
0x00F3E4 |    408 | FUN_0000f3e4 | longlong FUN_0000f3e4(ushort * param_1, undefined8 * param_2, undefined8 * param_3)
0x00F57C |    316 | FUN_0000f57c | longlong FUN_0000f57c(ushort * param_1)
0x00F6B8 |    424 | FUN_0000f6b8 | undefined FUN_0000f6b8(int param_1, undefined1 * param_2)
0x00F860 |    240 | FUN_0000f860 | ulonglong FUN_0000f860(void)
0x00FE30 |    584 | FUN_0000fe30 | undefined FUN_0000fe30(ulonglong param_1, char * param_2)
0x010078 |   1580 | FUN_00010078 | undefined FUN_00010078(ulonglong param_1, char * param_2)
0x0106A4 |     64 | FUN_000106a4 | undefined1 FUN_000106a4(void)
0x0106E4 |    244 | FUN_000106e4 | longlong FUN_000106e4(void)
0x0107D8 |   3972 | FUN_000107d8 | longlong FUN_000107d8(void)
0x0117CC |    204 | FUN_000117cc | undefined FUN_000117cc(char * param_1, undefined8 param_2)
0x011898 |    116 | FUN_00011898 | undefined FUN_00011898(void)
0x01190C |    728 | FUN_0001190c | undefined FUN_0001190c(void)
0x011BE4 |     68 | FUN_00011be4 | undefined8 FUN_00011be4(void)
0x011C28 |     64 | FUN_00011c28 | undefined1 FUN_00011c28(void)
0x011C68 |    132 | FUN_00011c68 | undefined FUN_00011c68(void)
0x011E30 |    240 | FUN_00011e30 | longlong FUN_00011e30(undefined8 param_1)
0x011F20 |    240 | FUN_00011f20 | longlong FUN_00011f20(undefined8 param_1)
0x012010 |   8232 | FUN_00012010 | undefined FUN_00012010(char * param_1, int * param_2, uint param_3)
0x014790 |    180 | FUN_00014790 | undefined FUN_00014790(void)
0x014F24 |    188 | FUN_00014f24 | undefined FUN_00014f24(undefined8 param_1, undefined8 param_2)
0x014FE0 |   2688 | FUN_00014fe0 | undefined FUN_00014fe0(void)
0x015A60 |    708 | FUN_00015a60 | undefined FUN_00015a60(int * param_1, uint param_2)
