# Data section pointers to code (.text)
# DataAddr | TargetAddr | TargetFunction
#---
0x0986E0 | 0x07AC3D | (none)
0x0986E8 | 0x07AF41 | (none)
0x0986F0 | 0x071710 | (none)
0x0986F8 | 0x07AC50 | (none)
0x098700 | 0x07239B | (none)
0x098710 | 0x07AC3D | (none)
0x098718 | 0x07AF54 | (none)
0x098720 | 0x071710 | (none)
0x098728 | 0x07AC50 | (none)
0x098730 | 0x07239B | (none)
0x098740 | 0x07AC3D | (none)
0x098748 | 0x07AF66 | (none)
0x098750 | 0x071710 | (none)
0x098758 | 0x07AC50 | (none)
0x098760 | 0x07239B | (none)
0x098770 | 0x07AC3D | (none)
0x098778 | 0x07AF77 | (none)
0x098780 | 0x071710 | (none)
0x098788 | 0x07AC50 | (none)
0x098790 | 0x07239B | (none)
0x0987A0 | 0x07AC3D | (none)
0x0987A8 | 0x07AF89 | (none)
0x0987B0 | 0x071710 | (none)
0x0987B8 | 0x07AC50 | (none)
0x0987C0 | 0x07239B | (none)
0x0987D0 | 0x07AC3D | (none)
0x0987D8 | 0x07AF97 | (none)
0x0987E0 | 0x071710 | (none)
0x0987E8 | 0x07AC50 | (none)
0x0987F0 | 0x07239B | (none)
0x098800 | 0x07AC3D | (none)
0x098808 | 0x07AFA7 | (none)
0x098810 | 0x071710 | (none)
0x098818 | 0x07AC50 | (none)
0x098820 | 0x07239B | (none)
0x098830 | 0x07AC3D | (none)
0x098838 | 0x07AFB3 | (none)
0x098840 | 0x071710 | (none)
0x098848 | 0x07AC50 | (none)
0x098850 | 0x07239B | (none)
0x098860 | 0x07AC3D | (none)
0x098868 | 0x07AFC8 | (none)
0x098870 | 0x071710 | (none)
0x098878 | 0x07AC50 | (none)
0x098880 | 0x07239B | (none)
0x098890 | 0x07AC3D | (none)
0x098898 | 0x07AFD3 | (none)
0x0988A0 | 0x071710 | (none)
0x0988A8 | 0x07AC50 | (none)
0x0988B0 | 0x07239B | (none)
0x0988C0 | 0x07AC3D | (none)
0x0988C8 | 0x07AFE8 | (none)
0x0988D0 | 0x071710 | (none)
0x0988D8 | 0x07AC50 | (none)
0x0988E0 | 0x07239B | (none)
0x0988F0 | 0x07AC3D | (none)
0x0988F8 | 0x07AFF9 | (none)
0x098900 | 0x071710 | (none)
0x098908 | 0x07AC50 | (none)
0x098910 | 0x07239B | (none)
0x098920 | 0x07AC3D | (none)
0x098928 | 0x07AFF9 | (none)
0x098930 | 0x071710 | (none)
0x098938 | 0x07AC50 | (none)
0x098940 | 0x07239B | (none)
0x098950 | 0x07AC3D | (none)
0x098958 | 0x07B002 | (none)
0x098960 | 0x071710 | (none)
0x098968 | 0x07AC50 | (none)
0x098970 | 0x07239B | (none)
0x098980 | 0x07AC3D | (none)
0x098988 | 0x07AFD3 | (none)
0x098990 | 0x071710 | (none)
0x098998 | 0x07AC50 | (none)
0x0989A0 | 0x07239B | (none)
0x0989B0 | 0x07AC3D | (none)
0x0989B8 | 0x07AFE8 | (none)
0x0989C0 | 0x071710 | (none)
0x0989C8 | 0x07AC50 | (none)
0x0989D0 | 0x07239B | (none)
0x0989E0 | 0x07AC3D | (none)
0x0989E8 | 0x07AFC8 | (none)
0x0989F0 | 0x071710 | (none)
0x0989F8 | 0x07AC50 | (none)
0x098A00 | 0x07239B | (none)
0x098A10 | 0x07AC3D | (none)
0x098A18 | 0x07AFD3 | (none)
0x098A20 | 0x071710 | (none)
0x098A28 | 0x07AC50 | (none)
0x098A30 | 0x07239B | (none)
0x098A40 | 0x07AC3D | (none)
0x098A48 | 0x07AFE8 | (none)
0x098A50 | 0x071710 | (none)
